outcome,control_mean,control_sd,source
trust_multidimensional,62.7,20.6,"TISP US 12 items -> 4 subscales, weighted, rescaled; referent -3.93 pp (measured within-person CLIM_TRUST vs TRUST_PEW); bridge -4.9 pp"
trust_post,62.1,30.0,"TISP US CLIM_TRUST (already the climate referent), bridge -4.9 pp"
distrust_post,28.0,30.0,"DECLARED PRIOR (the last one on the card) - no mounted dataset asks a direct distrust item about scientists; TISP's negatively-worded items were tried and rejected for acquiescence (r=0.68 among themselves, -0.045 with the trust battery, +0.22 with a positively-worded item). Complement of the measured trust_post level is 37.9 pp; plausible range 28-38"
funding_perceptions,64.4,27.0,"CCAM fund_research (4-point), weighted, rescaled, bridge -4.9 pp"
policy_role_mean,60.1,26.0,"TISP US NORMPERC_* (verbatim twins of policy_role_1..4), bridge -4.9 pp"
inst_trust_mean,52.9,24.0,"COMPOSED, not declared: TISP TRUST_PEW (generic scientists) rescaled 70.9 + bridge -4.9 = 66.0 slider anchor, plus the 5-institution composition (3 agencies + universities + federal government) measured within-person in GSS 2016-2024 (n=10311): education -17.5 pp and the federal executive -33.1 pp against the scientific community. The three agencies are PLACED, not assumed: Pew ATP W149 (Jul 1-7 2024, N=9,424, published topline) rescaled on the same 4-point map puts EPA at 54.0 and NASA at 67.0 against a DOJ/IRS/DHS same-half-sample comparator mean of 46.9 and Pew's own confidence-in-scientists 66.9, i.e. theta = 0.319 of the way from science to government (bracket over wave x not-sure treatment 0.067-0.319; the previous unmeasured midpoint 0.500 lies OUTSIDE it), so agencies -10.6, composite -13.2 pp after the x0.8 gap factor. Level bracket if the agencies sat at either end: 42.1 (= federal government) to 58.0 (= scientific community); over the measured theta bracket alone: 52.9 to 56.9. The favourability->confidence bridge is DECLARED (no institution is measured in both families on the mounted data) and W149 microdata lands post-lock-request"
belief_post,65.0,22.27,"voelkel2026 Belief_Pre, control arm (unprimed) - direct slider measurement, no bridge needed"
concern_mean,60.24,31.28,"voelkel2026 Concern_Pre, control arm (unprimed) - direct slider measurement, no bridge needed"
policy_general,65.34,33.01,"voelkel2026 Policies_Pre_3, control arm (unprimed) - direct slider measurement, no bridge needed"
policy_specific_mean,62.78,24.36,"vlasceanu2024 US control arm, mean of the SEVEN near-verbatim target items (CC_policy 1/2/5/7/8/9/10), post-stratified onto the pool's gender x age (raw 63.69); voelkel2026 PoliciesSp_Pre gives 52.61 but its four items are NOT the target's and carry an explicit cost trade-off clause - recorded as a cross-check, not used"
behavior_mean,54.83,22.6,"voelkel2026 IntentNp_Pre, control arm (unprimed) - direct slider measurement, no bridge needed"
donation_ams,4.774,3.792,"goldwert2026 donation, control arm, finishers (n=1212)"
newsletter_signup,0.243,0.429,"goldwert2026 newsletter1, control arm, finishers (n=1187)"
