pid,item,item_label,item_text,cell,direction,audience,arm_title,condition_arm,condition,agree_nocue,agree_leader_cue,likertAgree,likertAgree_recoded,party7,republican,ideo7,age_survey,gender,race,education,PK_sum,cue_type
1,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_against,against,Democrat,Amnesty for illegal immigrants (against),Control,Control,4.0,,4.0,4.0,Lean Democrat,0,Lean conservative,68.0,Male,Asian / Asian American,4-year degree,4,one_sided
1,7,Limit donations to candidates,Limit the amount of money a candidate can receive from a donor,item7_against,against,Democrat,Limit donations to candidates (against),Limit donations to candidates (against),Info-only,5.0,,5.0,5.0,Lean Democrat,0,Lean conservative,68.0,Male,Asian / Asian American,4-year degree,4,one_sided
1,14,Minimum sentences for drugs,Allow mandatory minimum prison sentences for people charged with drug possession,item14_against,against,Democrat,Minimum sentences for drugs (against),Minimum sentences for drugs (against),Both,,3.0,3.0,3.0,Lean Democrat,0,Lean conservative,68.0,Male,Asian / Asian American,4-year degree,4,one_sided
1,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_against,against,Democrat,Increase capital gains tax (against),Control,Cue-only,,3.0,3.0,3.0,Lean Democrat,0,Lean conservative,68.0,Male,Asian / Asian American,4-year degree,4,one_sided
1,23,Decrease estate tax,Decrease the current estate tax rate,item23_in_favor,in favor,Democrat,Decrease estate tax (in favor),Control,Control,5.0,,5.0,3.0,Lean Democrat,0,Lean conservative,68.0,Male,Asian / Asian American,4-year degree,4,one_sided
2,6,Amnesty for illegal immigrants,Give working illegal immigrants temporary amnesty,item6_against,against,Democrat,Amnesty for illegal immigrants (against),Control,Cue-only,,7.0,7.0,7.0,Strong Democrat,0,Liberal,81.0,Male,White / Caucasian,Postgraduate,3,one_sided
2,9,Require work for Medicaid,Make it a requirement that people work in order to receive Medicaid,item9_in_favor,in favor,Democrat,Require work for Medicaid (in favor),Control,Control,1.0,,1.0,7.0,Strong Democrat,0,Liberal,81.0,Male,White / Caucasian,Postgraduate,3,one_sided
2,10,Allow assisted suicide,Allow terminally ill patients to end their lives via assisted suicide,item10_in_favor,in favor,Democrat,Allow assisted suicide (in favor),Control,Control,6.0,,6.0,2.0,Strong Democrat,0,Liberal,81.0,Male,White / Caucasian,Postgraduate,3,one_sided
2,17,Increase capital gains tax,"Increase the government tax rate on profits earned from the sale of stocks, bonds, and real estate",item17_against,against,Democrat,Increase capital gains tax (against),Control,Cue-only,,6.0,6.0,6.0,Strong Democrat,0,Liberal,81.0,Male,White / Caucasian,Postgraduate,3,one_sided
2,22,Increase tariffs on Chinese imports,Increase U.S. tariffs on imported products from China,item22_in_favor,in favor,Democrat,Increase tariffs on Chinese imports (in favor),Control,Cue-only,,6.0,6.0,2.0,Strong Democrat,0,Liberal,81.0,Male,White / Caucasian,Postgraduate,3,one_sided
3,5,Require women on boards,Make it a requirement for businesses to have women on their board of directors,item5_against,against,Democrat,Require women on boards (against),Require women on boards (against),Info-only,3.0,,3.0,3.0,Democrat,0,Moderate,85.0,Female,White / Caucasian,2-year degree,4,two_sided
3,12,Deny criminals the vote,Deny convicted criminals the right to vote,item12_in_favor,in favor,Democrat,Deny criminals the vote (in favor),Deny criminals the vote (in favor),Info-only,4.0,,4.0,4.0,Democrat,0,Moderate,85.0,Female,White / Caucasian,2-year degree,4,two_sided
3,18,Military aid to Saudia Arabia,Provide U.S. military aid to Saudi Arabia during its conflict with Yemen,item18_in_favor,in favor,Democrat,Military aid to Saudia Arabia (in favor),Military aid to Saudia Arabia (in favor),Both,,2.0,2.0,6.0,Democrat,0,Moderate,85.0,Female,White / Caucasian,2-year degree,4,two_sided
3,19,Decrease power of labor unions,Decrease the power of labor unions to help the economy,item19_in_favor,in favor,Democrat,Decrease power of labor unions (in favor),Control,Cue-only,,3.0,3.0,5.0,Democrat,0,Moderate,85.0,Female,White / Caucasian,2-year degree,4,two_sided
3,23,Decrease estate tax,Decrease the current estate tax rate,item23_in_favor,in favor,Democrat,Decrease estate tax (in favor),Decrease estate tax (in favor),Info-only,6.0,,6.0,2.0,Democrat,0,Moderate,85.0,Female,White / Caucasian,2-year degree,4,two_sided
