condition,outcome,ate
Corporate reliance,trust_multidimensional,3.2
Corporate reliance,trust_post,3.0
Corporate reliance,distrust_post,-2.2
Corporate reliance,funding_perceptions,0.8
Corporate reliance,policy_role_mean,2.0
Corporate reliance,inst_trust_mean,1.8
Corporate reliance,belief_post,1.8
Corporate reliance,concern_mean,1.5
Corporate reliance,policy_general,1.4
Corporate reliance,policy_specific_mean,1.2
Corporate reliance,behavior_mean,0.8
Corporate reliance,donation_ams,1.0
Corporate reliance,newsletter_signup,0.5
Social justice,trust_multidimensional,1.0
Social justice,trust_post,1.2
Social justice,distrust_post,-0.6
Social justice,funding_perceptions,1.8
Social justice,policy_role_mean,1.0
Social justice,inst_trust_mean,0.4
Social justice,belief_post,1.2
Social justice,concern_mean,1.8
Social justice,policy_general,1.6
Social justice,policy_specific_mean,1.4
Social justice,behavior_mean,0.9
Social justice,donation_ams,0.5
Social justice,newsletter_signup,0.4
Interview Prof. Maraun,trust_multidimensional,3.4
Interview Prof. Maraun,trust_post,3.0
Interview Prof. Maraun,distrust_post,-2.2
Interview Prof. Maraun,funding_perceptions,1.2
Interview Prof. Maraun,policy_role_mean,2.0
Interview Prof. Maraun,inst_trust_mean,1.6
Interview Prof. Maraun,belief_post,1.4
Interview Prof. Maraun,concern_mean,1.2
Interview Prof. Maraun,policy_general,1.0
Interview Prof. Maraun,policy_specific_mean,0.9
Interview Prof. Maraun,behavior_mean,0.6
Interview Prof. Maraun,donation_ams,0.7
Interview Prof. Maraun,newsletter_signup,0.4
Funding,trust_multidimensional,3.6
Funding,trust_post,3.2
Funding,distrust_post,-2.6
Funding,funding_perceptions,9.0
Funding,policy_role_mean,2.4
Funding,inst_trust_mean,1.8
Funding,belief_post,1.4
Funding,concern_mean,1.2
Funding,policy_general,1.2
Funding,policy_specific_mean,1.0
Funding,behavior_mean,0.7
Funding,donation_ams,0.9
Funding,newsletter_signup,0.5
Oil industry misinformation,trust_multidimensional,3.0
Oil industry misinformation,trust_post,3.0
Oil industry misinformation,distrust_post,-2.0
Oil industry misinformation,funding_perceptions,2.6
Oil industry misinformation,policy_role_mean,2.0
Oil industry misinformation,inst_trust_mean,1.2
Oil industry misinformation,belief_post,2.4
Oil industry misinformation,concern_mean,2.4
Oil industry misinformation,policy_general,2.2
Oil industry misinformation,policy_specific_mean,1.8
Oil industry misinformation,behavior_mean,1.2
Oil industry misinformation,donation_ams,0.8
Oil industry misinformation,newsletter_signup,0.6
Measurement & modeling (1),trust_multidimensional,3.0
Measurement & modeling (1),trust_post,2.8
Measurement & modeling (1),distrust_post,-2.0
Measurement & modeling (1),funding_perceptions,1.2
Measurement & modeling (1),policy_role_mean,1.8
Measurement & modeling (1),inst_trust_mean,1.6
Measurement & modeling (1),belief_post,1.6
Measurement & modeling (1),concern_mean,1.2
Measurement & modeling (1),policy_general,1.0
Measurement & modeling (1),policy_specific_mean,0.9
Measurement & modeling (1),behavior_mean,0.6
Measurement & modeling (1),donation_ams,0.7
Measurement & modeling (1),newsletter_signup,0.4
Former skeptics,trust_multidimensional,3.2
Former skeptics,trust_post,3.0
Former skeptics,distrust_post,-2.2
Former skeptics,funding_perceptions,1.4
Former skeptics,policy_role_mean,2.0
Former skeptics,inst_trust_mean,1.4
Former skeptics,belief_post,2.2
Former skeptics,concern_mean,1.8
Former skeptics,policy_general,1.6
Former skeptics,policy_specific_mean,1.3
Former skeptics,behavior_mean,0.8
Former skeptics,donation_ams,0.7
Former skeptics,newsletter_signup,0.5
High public trust,trust_multidimensional,3.4
High public trust,trust_post,3.4
High public trust,distrust_post,-2.4
High public trust,funding_perceptions,1.4
High public trust,policy_role_mean,2.2
High public trust,inst_trust_mean,1.8
High public trust,belief_post,1.8
High public trust,concern_mean,1.4
High public trust,policy_general,1.4
High public trust,policy_specific_mean,1.1
High public trust,behavior_mean,0.7
High public trust,donation_ams,0.8
High public trust,newsletter_signup,0.5
Measurement & modeling (2),trust_multidimensional,2.6
Measurement & modeling (2),trust_post,2.4
Measurement & modeling (2),distrust_post,-1.7
Measurement & modeling (2),funding_perceptions,0.9
Measurement & modeling (2),policy_role_mean,1.5
Measurement & modeling (2),inst_trust_mean,1.3
Measurement & modeling (2),belief_post,1.3
Measurement & modeling (2),concern_mean,0.9
Measurement & modeling (2),policy_general,0.8
Measurement & modeling (2),policy_specific_mean,0.7
Measurement & modeling (2),behavior_mean,0.5
Measurement & modeling (2),donation_ams,0.6
Measurement & modeling (2),newsletter_signup,0.3
Peer-review,trust_multidimensional,3.2
Peer-review,trust_post,3.0
Peer-review,distrust_post,-2.2
Peer-review,funding_perceptions,1.2
Peer-review,policy_role_mean,2.0
Peer-review,inst_trust_mean,1.6
Peer-review,belief_post,1.8
Peer-review,concern_mean,1.3
Peer-review,policy_general,1.2
Peer-review,policy_specific_mean,1.0
Peer-review,behavior_mean,0.6
Peer-review,donation_ams,0.7
Peer-review,newsletter_signup,0.4
Scientist community helpers,trust_multidimensional,3.6
Scientist community helpers,trust_post,3.4
Scientist community helpers,distrust_post,-2.4
Scientist community helpers,funding_perceptions,1.6
Scientist community helpers,policy_role_mean,2.4
Scientist community helpers,inst_trust_mean,2.0
Scientist community helpers,belief_post,1.8
Scientist community helpers,concern_mean,1.8
Scientist community helpers,policy_general,1.5
Scientist community helpers,policy_specific_mean,1.3
Scientist community helpers,behavior_mean,1.0
Scientist community helpers,donation_ams,1.0
Scientist community helpers,newsletter_signup,0.6
Consensus,trust_multidimensional,3.4
Consensus,trust_post,3.2
Consensus,distrust_post,-2.3
Consensus,funding_perceptions,1.2
Consensus,policy_role_mean,2.2
Consensus,inst_trust_mean,1.6
Consensus,belief_post,3.0
Consensus,concern_mean,2.0
Consensus,policy_general,1.8
Consensus,policy_specific_mean,1.4
Consensus,behavior_mean,0.8
Consensus,donation_ams,0.8
Consensus,newsletter_signup,0.5
Portrait Prof. Cherry,trust_multidimensional,2.2
Portrait Prof. Cherry,trust_post,2.0
Portrait Prof. Cherry,distrust_post,-1.4
Portrait Prof. Cherry,funding_perceptions,0.8
Portrait Prof. Cherry,policy_role_mean,1.4
Portrait Prof. Cherry,inst_trust_mean,1.1
Portrait Prof. Cherry,belief_post,1.0
Portrait Prof. Cherry,concern_mean,0.8
Portrait Prof. Cherry,policy_general,0.7
Portrait Prof. Cherry,policy_specific_mean,0.6
Portrait Prof. Cherry,behavior_mean,0.5
Portrait Prof. Cherry,donation_ams,0.5
Portrait Prof. Cherry,newsletter_signup,0.3
Model accuracy,trust_multidimensional,3.6
Model accuracy,trust_post,3.4
Model accuracy,distrust_post,-2.6
Model accuracy,funding_perceptions,1.3
Model accuracy,policy_role_mean,2.3
Model accuracy,inst_trust_mean,1.8
Model accuracy,belief_post,2.4
Model accuracy,concern_mean,1.6
Model accuracy,policy_general,1.5
Model accuracy,policy_specific_mean,1.2
Model accuracy,behavior_mean,0.8
Model accuracy,donation_ams,0.9
Model accuracy,newsletter_signup,0.5
Interview Prof. Sebille,trust_multidimensional,2.6
Interview Prof. Sebille,trust_post,2.4
Interview Prof. Sebille,distrust_post,-1.6
Interview Prof. Sebille,funding_perceptions,1.2
Interview Prof. Sebille,policy_role_mean,1.6
Interview Prof. Sebille,inst_trust_mean,1.2
Interview Prof. Sebille,belief_post,1.6
Interview Prof. Sebille,concern_mean,1.8
Interview Prof. Sebille,policy_general,1.4
Interview Prof. Sebille,policy_specific_mean,1.1
Interview Prof. Sebille,behavior_mean,0.7
