moderator,level,outcome,offset,n,source,covered
gender,Male,trust_multidimensional,0.6224322583815923,5281,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=5281]",True
gender,Male,trust_post,0.6224322583815923,5281,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=5281]",True
gender,Male,distrust_post,-0.6224322583815923,5281,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor ; SIGN FLIPPED (reverse-valenced) [waves w100+w114, n=5281]",True
gender,Male,funding_perceptions,-1.5719588000276499,3047,"CCAM 2021-2024 weighted, fund_research rescaled, x0.8 gap factor",True
gender,Male,policy_role_mean,0.6580910367675873,1172,"TISP US (WEIGHT_CNTRY), policy_role rescaled, x0.8 gap factor",True
gender,Male,inst_trust_mean,0.6224322583815923,5281,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=5281]",True
gender,Male,belief_post,-1.6583766105139073,6237,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Belief_Pre",True
gender,Male,concern_mean,-3.5836693787563934,6231,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Concern_Pre",True
gender,Male,policy_general,-3.526706426238064,6236,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Policies_Pre_3",True
gender,Male,policy_specific_mean,-0.455536906914568,6232,"voelkel2026 PRE (pre-treatment, all arms n=13,821), PoliciesSp_Pre",True
gender,Male,behavior_mean,-2.8826694763986866,6222,"voelkel2026 PRE (pre-treatment, all arms n=13,821), IntentNp_Pre",True
gender,Male,donation_ams,-0.3570207395637957,479,"goldwert2026 control arm (finishers), donation",True
gender,Male,newsletter_signup,-0.028928659238347084,478,"goldwert2026 control arm (finishers), newsletter1",True
gender,Female,trust_multidimensional,-0.446288514491756,7032,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=7032]",True
gender,Female,trust_post,-0.446288514491756,7032,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=7032]",True
gender,Female,distrust_post,0.446288514491756,7032,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor ; SIGN FLIPPED (reverse-valenced) [waves w100+w114, n=7032]",True
gender,Female,funding_perceptions,1.0789177280234674,3067,"CCAM 2021-2024 weighted, fund_research rescaled, x0.8 gap factor",True
gender,Female,policy_role_mean,-1.0016901933657887,1387,"TISP US (WEIGHT_CNTRY), policy_role rescaled, x0.8 gap factor",True
gender,Female,inst_trust_mean,-0.446288514491756,7032,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=7032]",True
gender,Female,belief_post,1.245126593824499,7450,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Belief_Pre",True
gender,Female,concern_mean,3.0144074170097537,7444,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Concern_Pre",True
gender,Female,policy_general,2.8988445478445617,7451,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Policies_Pre_3",True
gender,Female,policy_specific_mean,0.08983058933426843,7438,"voelkel2026 PRE (pre-treatment, all arms n=13,821), PoliciesSp_Pre",True
gender,Female,behavior_mean,2.501778614489349,7440,"voelkel2026 PRE (pre-treatment, all arms n=13,821), IntentNp_Pre",True
gender,Female,donation_ams,0.3288266054764299,649,"goldwert2026 control arm (finishers), donation",True
gender,Female,newsletter_signup,0.026776609891501855,649,"goldwert2026 control arm (finishers), newsletter1",True
gender,Other,trust_multidimensional,-7.044296209205022,94,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=94]",True
gender,Other,trust_post,-7.044296209205022,94,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=94]",True
gender,Other,distrust_post,7.044296209205022,94,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor ; SIGN FLIPPED (reverse-valenced) [waves w100+w114, n=94]",True
gender,Other,funding_perceptions,20.315513144058144,129,"voelkel2026 PRE gender x policy_general offset reused (CCAM and TISP both code gender as a binary and cannot reach this cell), FLAGGED",True
gender,Other,policy_role_mean,20.31551314405813,129,"voelkel2026 PRE gender x policy_general offset reused (CCAM and TISP both code gender as a binary and cannot reach this cell), FLAGGED",True
gender,Other,inst_trust_mean,-7.044296209205022,94,"Pew ATP 4-point confidence in scientists, weighted, rescaled, x0.8 4-point->slider gap factor [waves w100+w114, n=94]",True
gender,Other,belief_post,15.830997256120943,129,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Belief_Pre",True
gender,Other,concern_mean,17.245416002041555,129,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Concern_Pre",True
gender,Other,policy_general,20.516083376408233,129,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Policies_Pre_3",True
gender,Other,policy_specific_mean,17.563448935101142,129,"voelkel2026 PRE (pre-treatment, all arms n=13,821), PoliciesSp_Pre",True
gender,Other,behavior_mean,9.836293493209038,129,"voelkel2026 PRE (pre-treatment, all arms n=13,821), IntentNp_Pre",True
gender,Other,donation_ams,0.22370503123786095,124,"voelkel2026 Donation (100-cent allocation) shape, converted pp->$ (/10)",True
gender,Other,newsletter_signup,0.011185251561893064,124,"voelkel2026 Donation (100-cent allocation) shape, as a signup-rate proxy, halved - DECLARED",True
age_band,18-29,trust_multidimensional,-3.1985777521825933,436,"TISP US (WEIGHT_CNTRY), trust_md rescaled, x0.8 gap factor",True
age_band,18-29,trust_post,-0.6275083020810079,435,"TISP US (WEIGHT_CNTRY), CLIM_TRUST rescaled, x0.8 gap factor",True
age_band,18-29,distrust_post,3.1985777521825933,436,"mirror of the trust_multidimensional offset, SIGN FLIPPED (reverse-valenced)",True
age_band,18-29,funding_perceptions,3.320203573280423,758,"CCAM 2021-2024 weighted, fund_research rescaled, x0.8 gap factor",True
age_band,18-29,policy_role_mean,2.192643710850035,436,"TISP US (WEIGHT_CNTRY), policy_role rescaled, x0.8 gap factor",True
age_band,18-29,inst_trust_mean,-3.1985777521825933,436,"TISP US 12-item trust gradient used for institutional trust (adjacent construct), FLAGGED",True
age_band,18-29,belief_post,6.6017975497634085,2082,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Belief_Pre",True
age_band,18-29,concern_mean,6.872538831156205,2081,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Concern_Pre",True
age_band,18-29,policy_general,9.183378209153227,2082,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Policies_Pre_3",True
age_band,18-29,policy_specific_mean,4.763888174825812,2079,"voelkel2026 PRE (pre-treatment, all arms n=13,821), PoliciesSp_Pre",True
age_band,18-29,behavior_mean,2.035662601226158,2076,"voelkel2026 PRE (pre-treatment, all arms n=13,821), IntentNp_Pre",True
age_band,18-29,donation_ams,-0.12994399045756827,209,"goldwert2026 control arm (finishers), donation",True
age_band,18-29,newsletter_signup,0.11603800985730585,210,"goldwert2026 control arm (finishers), newsletter1",True
age_band,30-44,trust_multidimensional,4.9950064944700046,766,"TISP US (WEIGHT_CNTRY), trust_md rescaled, x0.8 gap factor",True
age_band,30-44,trust_post,7.964455573318032,766,"TISP US (WEIGHT_CNTRY), CLIM_TRUST rescaled, x0.8 gap factor",True
age_band,30-44,distrust_post,-4.9950064944700046,766,"mirror of the trust_multidimensional offset, SIGN FLIPPED (reverse-valenced)",True
age_band,30-44,funding_perceptions,1.3945333464769754,1346,"CCAM 2021-2024 weighted, fund_research rescaled, x0.8 gap factor",True
age_band,30-44,policy_role_mean,7.84596557344351,766,"TISP US (WEIGHT_CNTRY), policy_role rescaled, x0.8 gap factor",True
age_band,30-44,inst_trust_mean,4.9950064944700046,766,"TISP US 12-item trust gradient used for institutional trust (adjacent construct), FLAGGED",True
age_band,30-44,belief_post,2.016080387619501,3734,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Belief_Pre",True
age_band,30-44,concern_mean,3.4263268035164027,3731,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Concern_Pre",True
age_band,30-44,policy_general,3.2321245875582973,3735,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Policies_Pre_3",True
age_band,30-44,policy_specific_mean,1.8244150250979736,3730,"voelkel2026 PRE (pre-treatment, all arms n=13,821), PoliciesSp_Pre",True
age_band,30-44,behavior_mean,1.0550392466965033,3730,"voelkel2026 PRE (pre-treatment, all arms n=13,821), IntentNp_Pre",True
age_band,30-44,donation_ams,-0.09002817675761049,395,"goldwert2026 control arm (finishers), donation",True
age_band,30-44,newsletter_signup,0.051922363598802444,392,"goldwert2026 control arm (finishers), newsletter1",True
age_band,45-59,trust_multidimensional,-0.7224994302063074,640,"TISP US (WEIGHT_CNTRY), trust_md rescaled, x0.8 gap factor",True
age_band,45-59,trust_post,-2.3289419688122726,639,"TISP US (WEIGHT_CNTRY), CLIM_TRUST rescaled, x0.8 gap factor",True
age_band,45-59,distrust_post,0.7224994302063074,640,"mirror of the trust_multidimensional offset, SIGN FLIPPED (reverse-valenced)",True
age_band,45-59,funding_perceptions,-2.02369751139446,1544,"CCAM 2021-2024 weighted, fund_research rescaled, x0.8 gap factor",True
age_band,45-59,policy_role_mean,-1.106192112804189,640,"TISP US (WEIGHT_CNTRY), policy_role rescaled, x0.8 gap factor",True
age_band,45-59,inst_trust_mean,-0.7224994302063074,640,"TISP US 12-item trust gradient used for institutional trust (adjacent construct), FLAGGED",True
age_band,45-59,belief_post,-1.502660857537445,3533,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Belief_Pre",True
age_band,45-59,concern_mean,-1.8624129178063034,3529,"voelkel2026 PRE (pre-treatment, all arms n=13,821), Concern_Pre",True
